Load,FO_Consumption,Exh_in,m_exh,T_D2,HT_pump,Pump_eff,Heat_block,T_sw_in,P_sw_in,Power,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,ORC_Pump_eff,P_chamber,Pinch_point_des,T_des_surface,N_TEG,TEG_hot,TEG_cold,T_sw_in_TEG_4,Exergy_eff_WHRS,WHRS_cycle_output,New_FO,CO2_red,EPC
60,198.74,639.15,3.92,369.15,335000,0.75,175.24,288.28,240000,1800,24,10,25,1,600000,0.75,20000,10,333.15,100,335.115,276,318.8233822,19.2609799,413.611881,161.6055656,18.68493229,0.301198994
55,194.8,630.15,3.63,369.15,363000,0.75,150.06,288.28,240000,1650,20,10,7,7,600000,0.75,20000,10,333.15,100,335.115,276,319.3624578,19.39462905,397.8784185,156.952677,19.42881056,0.313109424
55,194.8,630.15,3.63,369.15,413000,0.75,150.06,288.28,240000,1650,4.57,10,16.44,4.78,560000,0.75,12000,10,333.15,100,335.115,276,319.2068219,18.90161949,385.1943894,157.9308599,18.92666329,0.323419774
50,185.789,622.15,3.29,369.15,413000,0.75,126.62,288.28,240000,1500,4.57,10,16.44,4.78,560000,0.75,12000,10,333.15,100,335.115,276,319.2563623,19.39658881,371.2940081,148.9255557,19.84156453,0.335527856
50,185.789,622.15,3.29,369.15,401000,0.75,126.62,288.28,240000,1500,20,3.5,2,3,570000,0.75,16000,10,333.15,100,335.115,276,319.7610398,19.98176168,388.5462578,147.5650908,20.57382795,0.320629732
45,186.92,616.15,3.05,369.15,391000,0.75,104.94,288.28,240000,1350,5,6,2,9,577000,0.75,19000,10,333.15,100,335.115,276,319.5708415,20.33196975,377.3266147,146.0881792,21.84454356,0.330163517
45,186.92,616.15,3.05,369.15,371000,0.75,104.94,288.28,240000,1350,9,1,23,9,579000,0.75,10000,10,333.15,100,335.115,276,318.6547262,19.98011174,358.21436,147.7226781,20.97010588,0.347779141
40,182.98,611.15,2.76,369.15,363000,0.75,85.06,288.28,240000,1200,24,1,3.2,7,579000,0.75,10000,10,333.15,100,335.115,276,319.5725268,19.95416937,346.2829605,142.0024702,22.39454029,0.359762092
40,182.98,611.15,2.76,369.15,315000,0.75,85.06,288.28,240000,1200,1,1,25,6,660000,0.75,10000,10,333.15,100,335.115,276,318.4583284,20.5745449,352.1263775,141.4678619,22.6867079,0.353791963
35,179.04,605.15,2.47,369.15,415000,0.75,67.05,288.28,240000,1050,7.45,6,12,5,623000,0.75,16500,10,333.15,100,335.115,276,319.2445895,21.4676356,360.644653,133.2667299,25.5659462,0.345435545
35,179.04,605.15,2.47,369.15,379000,0.75,67.05,288.28,240000,1050,22.31,8.41,12,3.26,623000,0.75,16500,10,333.15,100,335.115,276,319.3502173,21.36268528,357.9632426,133.5205312,25.42418948,0.348023114
30,175.1,600.15,2.18,369.15,401000,0.75,50.94,288.28,240000,900,2.31,2.41,23.7,3.3,655000,0.75,18500,10,333.15,100,335.115,276,318.7330654,22.73806242,362.4161367,124.8320545,28.70813563,0.343747062
30,175.1,600.15,2.18,369.15,401000,0.75,50.94,288.28,240000,900,25,10,25,10,660000,0.75,20000,10,333.15,100,335.115,276,318.5574053,22.49157672,354.5993033,125.6098259,28.26394868,0.351324668
